Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
46250 Valencia;4625014 Valencia distrito 14;;Renta neta media por persona ;2016;12.726
46250 Valencia;4625014 Valencia distrito 14;;Renta neta media por persona ;2015;12.566
46250 Valencia;4625015 Valencia distrito 15;;Renta neta media por persona ;2021;11.897
46250 Valencia;4625015 Valencia distrito 15;;Renta neta media por persona ;2020;11.388
46250 Valencia;4625015 Valencia distrito 15;;Renta neta media por persona ;2019;11.118
46250 Valencia;4625015 Valencia distrito 15;;Renta neta media por persona ;2018;10.638
46250 Valencia;4625015 Valencia distrito 15;;Renta neta media por persona ;2017;10.143
46250 Valencia;4625015 Valencia distrito 15;;Renta neta media por persona ;2016;9.823
46250 Valencia;4625015 Valencia distrito 15;;Renta neta media por persona ;2015;9.607
46250 Valencia;4625016 Valencia distrito 16;;Renta neta media por persona ;2021;12.081
46250 Valencia;4625016 Valencia distrito 16;;Renta neta media por persona ;2020;11.520
46250 Valencia;4625016 Valencia distrito 16;;Renta neta media por persona ;2019;11.301
46250 Valencia;4625016 Valencia distrito 16;;Renta neta media por persona ;2018;10.766
46250 Valencia;4625016 Valencia distrito 16;;Renta neta media por persona ;2017;10.302
46250 Valencia;4625016 Valencia distrito 16;;Renta neta media por persona ;2016;10.083
46250 Valencia;4625016 Valencia distrito 16;;Renta neta media por persona ;2015;9.794
